Question,AgentAnswer
"Sir, I am cultivating ADT 36 variety of paddy, where can I sell it directly?","I am sorry, I do not have any specific information on where you can sell ADT 36 rice directly. I would suggest you speak to your local agriculture office or the cooperative society in your village. They can tell you the best places to sell your paddy and help you get a good price. If you want, you can also ask the farmers in nearby villages if they know of any buyers. That might give you a good idea of where to go."
"Sir, I am cultivating ASD 16 variety of rice, its duration is 110 - 115 days, but I am getting maturity in 100 days, what is the problem?","Hello. I hear you are growing ASD 16 rice. The normal time to finish is about 110 to 115 days. If it is ready in 100 days, the crop is maturing faster. In plain terms, this can happen because of a few things. The weather may be warmer than usual. Warmer days help the plant grow quicker. The soil may have more nutrients or the water may be plenty. If the soil is very fertile or the water is good, the plant can finish early. Sometimes the seeds are a bit different or the way they were treated can change the growth. It is also possible that the farmers in your area grow a slightly different type of ASD 16 that matures sooner. I am not fully sure which one is causing it in your farm. I suggest you talk to your local agriculture office or a nearby extension officer. They can check the soil and give you advice on why the crop is maturing early. If you want to keep the same timing, you can try adjusting the water or the fertilizer a little. But first get a local check. That will help you know exactly what is happening. Good luck with your rice."
"Sir, my rice seedlings are 15 days old, soil is clayey and root snapping is happening, what can I apply to prevent it?","I’m sorry, but I do not have any information about how to stop root snapping in 15‑day old rice seedlings in clayey soil. The research I have only talks about soaking seeds with Azospirillum and Phosphobacteria. It does not give a solution for root snapping. It would be best to ask your local agriculture office or a nearby village officer for advice on this problem."
"Sir, my rice field soil EC value is 5 dS/m, how can I make drainage channels for my land?",I do not have the exact number for that
"Sir, my paddy field soil is not puddled, can I still grow rice with only rainfall water?","Rice needs to be kept wet for most of the growing season. If your field cannot hold water and you only have rainfall, the rice may not grow well. It is best to keep the field flooded with enough water. If you cannot do that, you might need to use a different crop or ask your local agriculture office for help. I am not sure how much water you need exactly, so please check with the office for the right amount."
"Sir, I planted my rice seedlings 6cm deep, now they are taking time to grow, what can I do?",I do not have the exact number for that. It would be best to speak with your local agriculture office or a nearby farmer office for advice on helping your seedlings grow faster.
"Sir, I am getting 6334 kg per hectare yield of ADT 53 paddy, but my grain is 14.5 grams, is it correct?",I do not have the exact number for that. It would be best to check with your local agriculture office for the right grain weight for ADT 53 paddy.
"Sir, mera 1 hectare mein medium duration paddy lage hai, kitna kg beej ki zarurat hogi?",I do not have the exact number for that.
"Sir, I have land with alkaline soil. Can I grow Nendran banana in April?",I do not have the exact information about growing Nendran banana in April on alkaline soil. It would be best to ask your local agriculture office for advice.
 I planted banana 4 days ago. When should I give next irrigation?,"I am not sure about the exact timing for the next irrigation after planting banana. It depends on the soil and weather. You can check if the soil feels dry a few centimeters below the surface, or ask your village agriculture officer for advice. They can tell you the best time to water your banana plant."
When to spray Plantozyme for higher yield in banana and how much to use per litre?,"I am sorry, I do not have any verified information about spraying Plantozyme for banana. The research data you shared does not mention that product or how much to use. I suggest you ask the local agriculture office or the supplier of Plantozyme for the correct timing and dosage. They will be able to give you the best advice for your farm."
" my mango trees are not flowering in February, what can I spray to induce flowering?","I’m sorry, but the research data I have does not include any information about spraying mango trees to induce flowering. I don’t have a specific recommendation for you. It would be best to talk to your local agriculture office or a nearby extension officer who can give you the right advice for your mango trees."
" I planted coconut, when should I apply Azospirillum and Phosphobacteria first time?","For Azospirillum on coconut, you give it once every six months, starting from the day you plant the palm. I do not have confirmed information about when to give phosphobacteria to coconut. It would be best to ask your local agriculture office for that detail."
"After banana harvest, how much height of pseudo stem should I leave for new sucker growth?","After you finish picking the bananas, you should keep the pseudostem – the tall green stalk – about two to two and a half metres high. One study found that leaving around 225 centimetres (about 2.25 metres) works well. In India we do not have a single confirmed number, so this is a good rule of thumb. If you are unsure or if the climate is very hot or very wet, you can ask the local agriculture office for a specific recommendation for your village."
" I planted mango tree last year. Now in September, how much FYM and fertilizers I should give to my tree and how far from trunk I should apply?","You planted a mango tree last year, so it is about one year old. The research says that for a tree that age you can give around 10 kilograms of FYM. Some other notes say only a small amount, about 100 grams, but that is not clear. So you could use either, but 10 kilograms is the more common recommendation. We do not have a precise rule for how far from the trunk to spread it – experts usually put it around the root area, not right next to the trunk. We also do not have data on other fertilizers for a one‑year‑old mango tree. It would be best to ask a local agriculture officer or extension worker for the exact amounts and placement for your area."
 my mango trees are 10 years old. What can I do to reduce fungal disease like anthracnose during storage?,I am not sure. The data I have does not talk about mango trees or anthracnose. You may want to ask your local agriculture office for advice.
 I am planting Robusta variety in garden land. What spacing should I maintain for good growth?,"I am sorry, but the research data I have does not give a specific spacing for Robusta variety in a garden. I would suggest you ask the local agriculture office or a nearby experienced farmer for the best spacing in your area."
" my banana fruits are small, less than 200 g, will they be accepted in UAE export market?","The UAE wants bananas that weigh at least 160 grams and not more than 220 grams. If your bananas are heavier than 160 grams, they should be accepted. If they are lighter, they may not meet the requirement. Check the weight with a kitchen scale or ask a local expert."
" my banana is Poovan variety. Last hand has opened. Can I spray 2,4-D to improve bunch grade?","I am not fully sure. The information we have says that spraying 2,4‑D on Poovan bananas is not proven to make the bunches better. It might not help, so be careful. You could ask your local agriculture office for other ways to improve the bunches."
